,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Eswatini (Kingdom of),6.0,108.4,831.0,0.19,1.1,3.27,0.99,4.6,9.8,0.386,70.4,15.5,41.2,3981.0,8080.0,9.3,9.1,9.6,151.2,5.2,30.1,30.1,75.9,0.851,0.6559999999999999,5.5,23.5,5839.0,6.2,45.0,96.0,42.0,4.0,23.5,5954.0,29.8,831.0,4.9,0.455,0.535,0.47100000000000003,0.617,23.5,6.0,8.0,281.0,0.9,38.1,70.3,53.0,48.5,50.5,46.5,0.439,0.535,586.0,3.9,4.2,7.5,17.2,3.1,509.0,76.2,610.0,117.5,-2.4,-2.4,-2.4,-2.4,-2.4,0.7,5.6,70.3,23.5,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,52.2,49.2,-2.4,37.6,24.0,23.9,0.6,0.0,1.1,0.2,22.7,4.9,-4.2,65.4,31.0,4.9,3.27,48.2,13.7,1.03,25.0,6.3,11.7,32.6,1.09,831.0,22.3,41.2,20.6,49.3,84.5,0.99
 Ethiopia,6.8,117.5,421.0,0.09,0.1,0.65,1.63,4.4,48.6,0.16899999999999998,85.8,10.5,74.8,471.0,763.0,4.3,3.4,5.2,71.4,1.6,13.7,13.7,3.4,0.7440000000000001,0.47400000000000003,4.0,0.0,618.0,41.1,2.0,54.0,13.0,1.0,20.4,616.0,3.5,421.0,10.7,0.24,0.322,0.28300000000000003,0.275,0.0,53.0,64.0,136.0,0.0,72.7,90.4,81.4,51.9,53.3,50.6,0.491,0.322,897.0,1.5,0.9,2.1,16.6,0.0,366.0,88.8,409.0,143.7,-0.5,-0.5,-0.5,-0.5,-0.5,8.4,6.1,90.4,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,16.7,3.1,-0.5,47.9,46.35,49.2,33.5,2.1,66.5,12.4,14.7,10.7,-2.05,5.6,67.0,10.7,0.65,96.0,0.4,1.04,53.2,10.4,6.0,23.2,2.74,421.0,8.2,11.6,92.3,90.4,92.2,1.63
 Fiji,10.5,45.5,22.0,0.16,1.0,2.57,1.21,3.7,37.9,0.6859999999999999,47.5,40.0,53.1,3721.0,9615.0,13.2,13.5,12.9,135.4,0.0,53.7,53.7,75.9,0.927,0.47400000000000003,5.9,17.3,6674.0,5.4,11.0,102.0,78.0,22.0,15.4,6715.0,0.1,22.0,4.9,0.638,0.688,0.6829999999999999,0.635,17.3,3.0,19.0,294.0,1.5,38.5,76.0,57.4,67.6,70.2,65.2,0.732,0.688,42.0,9.6,8.2,8.6,22.1,6.8,175.0,19.1,264.0,22.4,-10.7,-10.7,-10.7,-10.7,-10.7,1.7,5.6,76.0,17.3,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,94.6,80.5,-10.7,67.3,48.6,50.9,0.5,0.0,0.8,0.1,47.9,4.9,0.1,96.9,28.0,4.9,2.57,52.9,60.7,1.06,32.0,10.4,5.7,13.6,1.69,22.0,7.5,17.4,40.4,22.7,56.9,1.21
 Finland,19.8,9.5,12.0,0.29,10.1,0.38,1.03,6.8,34.5,0.8029999999999999,6.2,65.8,54.2,27419.0,42248.0,17.7,18.4,17.0,75.0,10.8,73.7,73.7,49.9,0.996,0.085,5.7,23.9,34887.0,180.6,48.0,101.0,125.0,82.0,23.1,34658.0,0.4,12.0,2.9,0.852,0.855,0.858,0.883,23.9,1.0,4.0,1971.0,37.2,56.2,66.2,61.0,77.8,81.2,74.2,0.889,0.855,5.0,9.3,9.2,9.4,39.4,71.9,63.0,3.5,144.0,4.3,0.9,0.9,0.9,0.9,0.9,2.45,22.4,66.2,23.9,0.9,0.9,0.9,0.9,0.9,0.9,100.0,99.4,0.9,44.4,94.6,96.4,3.5,0.8,5.2,0.3,82.2,2.9,13.2,98.4,17.0,2.9,0.38,31.7,100.0,1.05,48.3,36.5,10.4,33.2,1.14,12.0,11.1,29.7,9.3,37.6,27.1,1.03
 France,12.9,9.8,12.0,0.17,5.9,0.65,1.08,9.5,34.5,0.762,4.1,69.6,49.9,26240.0,45243.0,15.6,15.8,15.3,55.9,3.0,27.9,27.9,52.8,0.9840000000000001,0.192,5.5,22.5,34881.0,2124.7,111.0,104.0,109.0,54.0,21.5,35557.0,0.3,12.0,1.8,0.84,0.8540000000000001,0.8490000000000001,0.887,22.5,1.0,16.0,77190.0,14.3,48.6,62.9,55.6,78.8,82.7,75.1,0.905,0.8540000000000001,12.0,9.8,9.7,10.1,37.7,48.7,61.0,4.4,138.0,5.4,1.3,1.3,1.3,1.3,1.3,2.45,24.5,62.9,22.5,1.3,1.3,1.3,1.3,1.3,1.3,99.9,98.7,1.3,70.6,67.6,71.5,38.9,9.5,59.6,3.7,75.9,1.8,7.1,96.3,19.0,1.8,0.65,9.3,100.0,1.05,44.7,9.1,8.3,23.9,1.42,12.0,10.2,20.5,7.2,37.6,28.8,1.08
 Gabon,-3.4,161.3,515.0,0.21,3.8,0.12,1.02,2.9,12.5,0.545,43.2,45.4,39.0,10502.0,21764.0,12.3,11.9,12.5,101.7,5.5,85.4,85.4,32.4,0.9179999999999999,0.611,3.8,21.9,17783.0,21.9,45.0,101.0,78.0,22.0,21.9,16089.0,5.9,515.0,10.8,0.5920000000000001,0.644,0.633,0.767,21.9,31.0,45.0,155.0,1.2,36.6,58.1,47.1,59.3,60.2,58.3,0.605,0.644,405.0,6.2,5.3,5.3,19.4,9.7,307.0,54.0,324.0,84.6,1.7,1.7,1.7,1.7,1.7,0.3,10.9,58.1,21.9,1.7,1.7,1.7,1.7,1.7,1.7,78.7,39.0,1.7,36.1,42.7,29.5,0.7,0.1,1.2,0.2,78.9,10.8,1.6,85.5,25.0,10.8,0.12,72.8,29.7,1.03,25.9,10.9,7.0,17.8,1.02,515.0,17.2,37.6,32.9,18.9,76.3,1.02
 Gambia,6.8,133.9,185.0,0.13,0.2,0.87,1.41,3.6,7.4,0.254,33.2,51.9,52.2,1019.0,1961.0,6.8,6.1,7.4,56.4,5.6,45.6,45.6,75.9,0.797,0.748,1.5,4.6,1550.0,1.9,45.0,90.0,78.0,22.0,4.6,1487.0,1.4,185.0,12.4,0.34,0.426,0.385,0.408,4.6,3.0,11.0,79.0,0.9,46.7,68.8,57.6,55.9,57.2,54.9,0.5529999999999999,0.426,887.0,2.0,1.2,2.8,16.8,0.5,275.0,63.1,326.0,117.1,-4.6,-4.6,-4.6,-4.6,-4.6,6.6,5.3,68.8,4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,73.8,55.2,-4.6,16.1,9.7,22.8,0.6,0.0,1.2,0.2,47.9,12.4,-2.05,51.6,37.0,12.4,0.87,63.1,18.2,1.03,33.6,2.0,8.7,18.1,1.91,185.0,9.4,13.0,74.6,71.9,89.7,1.41
 Georgia,11.3,60.5,254.0,0.32,1.0,6.74,0.98,7.4,21.5,0.7170000000000001,52.2,38.0,56.6,2234.0,4702.0,11.7,11.6,11.6,62.7,4.3,39.7,39.7,59.0,0.94,0.42200000000000004,2.2,26.6,3264.0,14.4,37.0,95.0,78.0,38.0,25.4,3404.0,0.1,254.0,5.1,0.647,0.688,0.6729999999999999,0.5329999999999999,26.6,11.0,27.0,387.0,0.5,54.6,73.8,63.5,71.9,75.4,68.1,0.799,0.688,37.0,11.7,11.6,11.9,33.8,4.1,76.0,31.0,197.0,35.5,-15.0,-15.0,-15.0,-15.0,-15.0,5.4,19.1,73.8,26.6,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,88.6,96.5,-15.0,91.0,88.7,91.9,3.1,0.6,4.7,0.3,52.6,5.1,-4.3,95.5,17.0,5.1,6.74,47.3,98.5,1.11,40.9,7.2,1.7,9.7,0.93,254.0,10.8,20.9,60.7,32.7,34.8,0.98
 Germany,8.7,13.1,13.0,0.28,10.1,0.18,0.91,9.8,34.5,0.8240000000000001,2.6,63.8,53.5,26238.0,47371.0,16.2,16.0,16.5,61.4,12.7,32.5,32.5,83.6,0.943,0.13,4.1,23.9,36765.0,3022.5,97.0,105.0,100.0,22.0,23.0,36529.0,0.4,13.0,1.2,0.8340000000000001,0.885,0.868,0.8909999999999999,23.9,4.0,8.0,18983.0,30.2,49.1,67.7,58.1,78.0,80.9,74.8,0.892,0.885,8.0,11.2,9.7,11.6,40.1,59.2,63.0,4.4,125.0,5.4,1.7,1.7,1.7,1.7,1.7,2.45,24.3,67.7,23.9,1.7,1.7,1.7,1.7,1.7,1.7,100.0,99.2,1.7,73.4,70.3,81.9,55.3,13.4,81.5,3.9,75.0,1.2,0.0,98.6,15.0,1.2,0.18,3.7,100.0,1.06,43.8,30.4,5.2,17.9,1.08,13.0,7.9,8.6,5.9,37.6,23.1,0.91
 Ghana,4.5,90.7,216.0,0.15,0.3,0.65,1.01,5.1,39.3,0.42700000000000005,50.3,34.0,66.9,1856.0,2565.0,8.0,7.4,8.5,116.0,3.3,39.2,39.2,28.4,0.851,0.47400000000000003,4.1,24.0,2259.0,42.8,62.0,86.0,36.0,22.0,23.1,2215.0,4.2,216.0,4.9,0.444,0.522,0.484,0.46799999999999997,24.0,4.0,10.0,399.0,0.2,72.7,76.6,74.7,57.0,57.8,56.2,0.569,0.522,467.0,6.1,4.8,7.5,18.8,0.7,280.0,64.5,319.0,100.1,-1.3,-1.3,-1.3,-1.3,-1.3,12.4,5.4,76.6,24.0,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,64.4,11.2,-1.3,47.8,36.8,58.8,10.5,0.6,18.9,3.0,43.9,4.9,-3.3,96.3,34.0,4.9,0.65,71.6,17.5,1.05,51.8,10.4,3.6,15.4,1.06,216.0,10.4,16.3,79.5,52.6,75.7,1.01
 Greece,6.3,12.1,7.3,0.34,8.5,1.69,1.32,7.2,34.5,0.672,17.4,60.0,47.4,15951.0,34000.0,13.9,14.2,13.7,58.4,-0.0,27.9,27.9,94.6,0.9470000000000001,0.223,3.2,25.8,24839.0,268.4,66.0,94.0,87.0,51.0,24.6,24924.0,0.4,7.3,4.9,0.7709999999999999,0.815,0.7959999999999999,0.8340000000000001,25.8,4.0,11.0,13096.0,9.1,40.9,66.2,53.4,78.6,81.4,75.9,0.9009999999999999,0.815,4.0,8.6,8.0,9.1,37.8,53.2,49.0,5.5,115.0,6.4,5.4,5.4,5.4,5.4,5.4,2.45,24.0,66.2,25.8,5.4,5.4,5.4,5.4,5.4,5.4,99.4,96.6,5.4,52.8,48.5,57.6,7.6,1.8,11.1,0.6,72.7,4.9,-5.4,96.3,13.0,4.9,1.69,7.5,100.0,1.06,35.2,8.7,1.3,5.0,2.25,7.3,11.3,28.7,34.0,37.6,22.7,1.32
 Guatemala,-0.8,118.8,31.0,0.14,0.9,3.09,1.37,5.2,25.9,0.358,39.8,37.7,61.5,3624.0,8460.0,8.5,8.0,8.9,49.1,-4.1,39.3,39.3,42.3,0.897,0.596,4.1,17.8,6071.0,70.7,49.0,100.0,36.0,22.0,16.1,5997.0,0.2,31.0,24.9,0.512,0.5720000000000001,0.546,0.618,17.8,6.0,14.0,826.0,0.7,41.1,85.7,62.4,67.8,71.0,64.7,0.736,0.5720000000000001,178.0,3.7,3.3,4.1,17.7,7.4,150.0,40.8,265.0,51.9,-7.3,-7.3,-7.3,-7.3,-7.3,1.4,7.6,85.7,17.8,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,85.5,59.2,-7.3,17.1,15.5,18.1,6.1,0.5,11.7,1.9,45.3,24.9,-1.4,96.3,33.0,24.9,3.09,62.7,56.4,1.05,46.6,8.8,1.6,7.4,1.82,31.0,1.4,2.6,61.8,17.0,83.6,1.37
 Guinea,3.1,174.4,228.0,0.13,0.2,0.04,0.84,5.0,8.9,0.191,70.9,23.4,62.4,1066.0,1518.0,5.1,3.8,6.5,53.5,0.3,28.1,28.1,75.9,0.728,0.47400000000000003,2.6,20.5,1421.0,12.5,45.0,57.0,78.0,22.0,19.6,1291.0,1.8,228.0,10.9,0.275,0.37799999999999995,0.32899999999999996,0.386,20.5,39.0,58.0,33.0,0.1,62.7,68.0,65.3,51.2,51.2,51.2,0.48,0.37799999999999995,976.0,1.5,0.8,2.2,17.8,0.5,316.0,100.7,333.0,165.8,-5.9,-5.9,-5.9,-5.9,-5.9,5.3,6.5,68.0,20.5,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,54.5,9.1,-5.9,47.9,46.35,49.2,4.6,0.3,8.8,1.5,30.9,10.9,-0.6,96.3,46.0,10.9,0.04,85.6,87.9,1.02,42.5,8.8,6.9,13.7,0.63,228.0,4.6,5.6,91.2,82.4,84.5,0.84
 Guinea-Bissau,6.8,134.4,305.0,0.09,0.1,2.17,1.05,6.3,10.6,0.585,84.7,8.5,67.6,1014.0,1639.0,6.7,11.850000000000001,11.7,54.9,0.2,75.4,75.4,75.9,0.9329999999999999,0.47400000000000003,4.1,11.7,1363.0,1.7,4.0,73.0,18.0,22.0,11.6,1320.0,2.7,305.0,13.0,0.64,0.688,0.669,0.39,11.7,27.0,29.0,813.0,0.2,64.4,80.7,72.3,52.3,53.3,51.2,0.496,0.688,800.0,7.35,7.1,7.5,17.1,0.0,290.0,105.2,319.0,174.2,-9.9,-9.9,-9.9,-9.9,-9.9,22.7,5.6,80.7,11.7,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,52.8,12.0,-9.9,47.9,46.35,49.2,0.6,0.0,1.2,0.2,36.2,13.0,-2.05,31.8,44.0,13.0,2.17,91.2,87.9,1.03,28.2,7.8,7.6,14.8,1.16,305.0,6.5,11.4,64.5,78.0,87.0,1.05
 Guyana,8.4,92.7,70.0,0.47,2.1,3.83,1.19,4.4,100.5,0.561,24.2,52.4,49.7,2215.0,6454.0,10.9,11.0,11.0,206.8,9.4,84.4,84.4,75.9,0.9259999999999999,0.544,8.5,23.8,4522.0,3.4,90.0,102.0,78.0,22.0,23.8,4323.0,0.8,70.0,10.1,0.573,0.619,0.604,0.569,23.8,3.0,14.0,105.0,6.6,35.5,79.6,57.2,64.9,67.9,62.1,0.691,0.619,210.0,7.7,8.1,7.3,22.6,5.3,179.0,37.0,282.0,46.4,-21.2,-21.2,-21.2,-21.2,-21.2,17.6,6.7,79.6,23.8,-21.2,-21.2,-21.2,-21.2,-21.2,-21.2,88.3,78.4,-21.2,45.6,51.4,39.0,0.5,0.0,0.8,0.1,28.7,10.1,-8.2,82.9,26.0,10.1,3.83,39.5,69.6,1.05,35.9,18.5,11.7,41.2,1.59,70.0,13.1,27.6,32.5,19.9,60.5,1.19
 Haiti,21.7,61.8,270.0,0.09,0.2,14.62,1.18,6.9,34.3,0.345,51.9,38.1,58.0,1372.0,2125.0,7.9,11.850000000000001,11.7,46.1,0.3,4.0,4.0,23.3,0.9329999999999999,0.47400000000000003,4.1,27.3,1739.0,14.9,45.0,101.0,78.0,22.0,27.3,1744.0,2.9,270.0,4.9,0.64,0.688,0.442,0.43200000000000005,27.3,27.0,45.0,140.0,0.2,57.6,69.6,63.4,57.7,59.5,55.9,0.58,0.688,505.0,3.8,2.6,5.1,19.1,0.6,274.0,74.8,338.0,104.5,-3.5,-3.5,-3.5,-3.5,-3.5,5.2,7.3,69.6,27.3,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,56.4,16.7,-3.5,21.6,16.6,26.9,4.8,0.3,8.5,1.2,35.6,4.9,-0.3,23.8,25.0,4.9,14.62,76.0,5.2,1.05,60.9,10.4,4.8,15.5,1.32,270.0,8.6,20.8,86.3,67.1,72.6,1.18
 Honduras,16.7,117.6,123.0,0.23,0.8,6.68,1.37,6.3,23.5,0.418,35.8,41.5,63.3,1812.0,4629.0,9.9,10.4,9.6,120.4,4.9,57.1,57.1,48.3,0.9159999999999999,0.547,4.1,28.3,3329.0,21.7,21.0,104.0,78.0,13.0,25.8,3213.0,1.1,123.0,48.7,0.534,0.583,0.5539999999999999,0.524,28.3,2.0,2.0,471.0,1.2,44.4,87.9,65.7,70.5,73.0,68.1,0.778,0.583,133.0,4.3,4.8,5.2,18.4,2.4,144.0,30.5,200.0,37.3,-2.1,-2.1,-2.1,-2.1,-2.1,6.5,6.9,87.9,28.3,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,82.2,61.9,-2.1,25.4,23.8,16.1,3.5,0.2,6.5,1.0,45.5,48.7,-4.5,96.3,34.0,48.7,6.68,55.1,45.2,1.05,49.1,9.4,2.2,6.3,1.69,123.0,3.6,6.3,48.6,31.0,78.6,1.37
 Hungary,3.7,25.6,35.0,0.3,5.5,0.47,0.9,6.8,34.5,0.736,6.5,59.8,45.8,12750.0,21671.0,14.2,14.5,14.0,137.0,5.8,21.4,21.4,80.5,0.983,0.28800000000000003,4.9,28.3,17952.0,183.3,80.0,101.0,96.0,36.0,25.4,16994.0,0.4,35.0,2.0,0.7609999999999999,0.774,0.769,0.7759999999999999,28.3,1.0,1.0,2992.0,7.0,41.1,57.9,49.0,71.7,76.1,67.4,0.7959999999999999,0.774,15.0,10.2,9.8,10.6,38.5,30.1,115.0,8.6,272.0,10.1,1.5,1.5,1.5,1.5,1.5,2.45,22.2,57.9,28.3,1.5,1.5,1.5,1.5,1.5,1.5,100.0,98.0,1.5,87.3,83.8,88.7,7.0,1.5,10.2,0.5,64.6,2.0,-3.6,99.5,11.0,2.0,0.47,5.2,100.0,1.06,46.5,8.3,10.6,43.5,0.81,35.0,6.6,12.3,10.2,37.6,24.7,0.9
 Iceland,6.8,23.5,5.3,0.23,7.7,0.4,0.88,9.0,95.7,0.789,8.3,68.7,76.9,26445.0,39156.0,17.1,17.8,16.4,71.9,1.7,0.3,0.3,22.6,0.993,0.14800000000000002,6.5,24.6,34045.0,9.6,85.0,103.0,106.0,46.0,24.2,32806.0,0.4,5.3,1.8,0.856,0.862,0.86,0.875,24.6,1.0,9.0,303.0,44.5,73.7,83.0,78.4,79.9,81.9,77.8,0.9209999999999999,0.862,5.0,9.4,9.6,9.3,32.9,76.6,59.0,3.2,99.0,4.1,0.7,0.7,0.7,0.7,0.7,2.45,17.8,83.0,24.6,0.7,0.7,0.7,0.7,0.7,0.7,100.0,98.8,0.7,53.4,71.6,82.6,0.2,0.0,0.3,0.0,92.4,1.8,-4.5,99.3,25.0,1.8,0.4,60.7,100.0,1.04,49.3,34.9,5.7,22.0,2.0,5.3,1.9,4.3,10.6,37.6,35.6,0.88
 India,15.2,76.9,289.0,0.39,1.0,2.79,1.0,4.2,52.8,0.379,59.7,24.0,56.5,1152.0,3696.0,8.3,7.3,9.3,27.2,0.8,22.0,22.0,63.7,0.747,0.47400000000000003,4.4,27.0,2495.0,2627.4,45.0,95.0,45.0,10.0,24.6,2470.0,0.4,289.0,4.9,0.41600000000000004,0.557,0.493,0.484,27.0,26.0,44.0,2649.0,0.5,34.0,82.6,59.0,62.6,63.4,61.8,0.655,0.557,374.0,4.4,3.2,6.2,22.7,0.3,193.0,66.6,250.0,91.5,-0.1,-0.1,-0.1,-0.1,-0.1,0.3,7.2,82.6,27.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,80.4,21.7,-0.1,30.4,23.5,48.6,641.0,46.3,1053.1,127.6,27.7,4.9,-1.2,42.5,40.0,4.9,2.79,51.6,48.2,1.1,17.9,10.4,16.8,21.5,0.95,289.0,4.3,9.9,83.8,76.5,57.1,1.0
 Indonesia,7.3,47.8,449.0,0.21,1.2,0.72,1.01,2.0,60.7,0.518,45.3,37.3,63.4,3154.0,7702.0,10.6,10.4,10.8,71.4,-2.8,54.9,54.9,62.0,0.897,0.563,4.1,22.2,5806.0,1228.2,24.0,109.0,55.0,15.0,19.9,5430.0,0.1,449.0,1.0,0.5589999999999999,0.624,0.606,0.603,22.2,16.0,24.0,5064.0,0.9,50.6,84.7,67.5,66.3,68.0,64.6,0.7120000000000001,0.624,265.0,6.7,5.7,6.3,24.4,1.7,168.0,41.1,214.0,52.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.1,7.3,84.7,22.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,74.6,44.2,-0.3,21.0,26.1,36.4,136.7,10.0,211.5,21.3,42.0,1.0,3.9,63.5,22.0,1.0,0.72,45.6,79.7,1.05,36.5,8.0,1.9,4.8,1.1,449.0,6.1,18.1,61.7,78.9,47.5,1.01
 Iran (Islamic Republic of),7.7,48.6,22.0,0.43,5.6,0.49,1.12,5.2,40.6,0.53,24.1,45.3,37.7,3244.0,22734.0,11.6,11.0,12.2,41.3,0.2,5.7,5.7,99.7,0.7959999999999999,0.601,4.0,35.1,13135.0,868.7,17.0,100.0,78.0,19.0,31.3,13126.0,0.1,22.0,4.9,0.574,0.721,0.67,0.737,35.1,1.0,1.0,1342.0,0.9,13.9,73.7,44.1,70.1,71.1,69.2,0.7709999999999999,0.721,51.0,6.2,5.3,7.1,20.8,1.5,126.0,28.2,177.0,34.3,1.9,1.9,1.9,1.9,1.9,0.1,6.9,73.7,35.1,1.9,1.9,1.9,1.9,1.9,1.9,95.0,87.2,1.9,41.2,47.9,54.7,40.2,2.8,66.1,6.4,64.0,4.9,-0.0,89.6,26.0,4.9,0.49,0.4,94.6,1.04,13.7,3.4,7.8,10.2,1.81,22.0,14.6,28.4,45.6,8.0,57.4,1.12
 Iraq,6.8,64.8,50.0,0.25,3.1,0.87,1.09,5.2,34.5,0.41100000000000003,17.3,63.5,34.3,2328.0,21085.0,8.7,7.4,10.0,125.3,3.1,1.9,1.9,99.7,0.7290000000000001,0.642,4.1,29.1,12177.0,287.0,5.0,97.0,38.0,12.0,2.9,11791.0,0.4,50.0,4.9,0.49,0.672,0.607,0.721,29.1,8.0,14.0,78.0,2.0,10.5,73.5,41.8,69.2,71.5,67.0,0.7559999999999999,0.672,63.0,5.0,3.7,6.5,18.2,0.0,129.0,36.0,198.0,45.0,-0.2,-0.2,-0.2,-0.2,-0.2,2.45,6.5,73.5,29.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,81.4,75.2,-0.2,30.2,21.2,43.4,12.6,0.8,23.6,3.8,68.5,4.9,-2.05,65.2,21.0,4.9,0.87,0.4,91.6,1.07,8.7,7.6,2.9,4.9,1.7,50.0,18.0,36.2,38.6,37.6,80.2,1.09
 Ireland,6.8,19.0,12.0,0.28,10.8,0.25,1.05,5.9,34.5,0.8170000000000001,7.8,63.1,56.8,22872.0,44903.0,16.4,16.9,15.9,175.1,25.5,9.2,9.2,92.5,0.9790000000000001,0.201,4.1,24.5,38850.0,147.8,45.0,103.0,99.0,46.0,23.8,33830.0,0.1,12.0,1.0,0.843,0.862,0.857,0.88,24.5,5.0,21.0,6646.0,17.9,47.6,71.4,59.4,76.8,79.5,74.2,0.875,0.862,9.0,10.8,10.9,10.6,31.8,63.9,70.0,6.0,119.0,7.2,4.4,4.4,4.4,4.4,4.4,2.45,15.6,71.4,24.5,4.4,4.4,4.4,4.4,4.4,4.4,96.1,88.6,4.4,72.0,72.9,67.9,2.6,0.4,3.8,0.3,59.2,1.0,-2.05,99.6,25.0,1.0,0.25,2.0,100.0,1.07,43.3,13.7,4.3,19.5,0.98,12.0,4.3,6.5,13.2,37.6,31.4,1.05
