,"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),Homeless people due to natural disaster (average annual per million people),"Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Private capital flows (% of GDP),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Ecuador,75.6,52.0,2.4,1.24,20.2,0.37200000000000005,8.5,31.5,0.675,26.2,54.2,64.2,7262.0,13873.0,14.3,15.4,13.9,45.2,1.3,50.5,50.5,0.9740000000000001,0.387,26.9,10749.0,173.5,26.6,10567.0,52.0,0.738,0.757,0.743,0.7040000000000001,20.2,20.2,20.2,26.9,15.5,30.1,15.1,0.5710000000000001,0.59,0.49200000000000005,0.733,20.0,16.0,1544.0,48.9,52.2,81.2,66.6,76.1,78.9,73.4,0.863,0.757,64.0,8.4,8.6,8.8,26.6,80.2,18.3,21.5,-0.5,-0.5,-0.5,-0.5,-0.5,10.4,81.2,20.5,26.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,92.6,86.1,-0.5,48.8,48.2,49.4,10.4,1.1,16.1,1.6,63.4,-2.8,2.4,13.8,96.4,1.05,41.1,41.6,1.5,52.0,3.6,8.9,41.3,45.1,1.24
 Egypt,52.3,15.0,5.51,1.11,28.3,0.14400000000000002,4.2,95.3,0.601,25.8,49.1,41.7,3292.0,16408.0,13.1,12.8,13.0,34.8,2.1,0.1,0.1,0.852,0.3745,14.3,10096.0,946.7,13.7,9923.0,15.0,0.618,0.725,0.691,0.6940000000000001,28.3,28.3,28.3,14.3,35.0,36.3,13.4,0.39,0.491,0.442,0.6829999999999999,6.0,8.0,9139.0,37.8,22.2,73.6,48.0,71.3,73.6,69.1,0.789,0.725,33.0,7.1,6.4,7.9,24.7,100.3,20.1,23.7,-0.6,-0.6,-0.6,-0.6,-0.6,8.2,73.6,29.0,14.3,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,98.4,93.2,-0.6,61.4,54.5,68.2,58.0,4.7,93.8,12.4,42.8,-2.0,5.51,5.7,100.0,1.07,15.8,19.7,2.87,15.0,13.1,34.9,25.3,53.6,1.11
 El Salvador,71.5,49.0,18.53,1.09,22.0,0.212,6.9,86.8,0.5710000000000001,18.1,59.7,59.0,5857.0,9484.0,12.6,12.5,12.8,76.1,2.1,12.8,12.8,0.972,0.395,15.6,7020.0,44.3,15.6,7563.0,49.0,0.665,0.685,0.674,0.653,22.0,22.0,22.0,15.6,26.6,25.7,13.7,0.419,0.524,0.485,0.7070000000000001,7.0,5.0,1402.0,26.8,47.2,78.5,61.4,73.3,77.7,68.5,0.82,0.685,54.0,6.6,6.5,7.2,25.8,147.9,13.3,15.5,-7.7,-7.7,-7.7,-7.7,-7.7,12.4,78.5,22.2,15.6,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,93.0,91.1,-7.7,41.0,40.9,47.3,4.0,0.5,6.3,0.6,69.7,-1.9,18.53,24.4,90.6,1.05,49.4,32.1,0.8,49.0,4.0,8.8,36.1,44.4,1.09
 Estonia,14.4,18.0,2.02,0.95,8.6,0.11599999999999999,6.5,76.9,0.8690000000000001,3.9,65.4,58.4,20381.0,34500.0,16.1,16.9,15.3,153.2,-3.2,52.7,52.7,1.02,0.13699999999999998,24.9,27550.0,36.2,23.6,26985.0,18.0,0.871,0.8540000000000001,0.866,0.846,8.6,8.6,8.6,24.9,2.3,18.7,4.8,0.848,0.7879999999999999,0.687,0.841,6.0,7.0,2989.0,88.4,56.0,69.5,62.2,77.4,81.7,72.6,0.883,0.8540000000000001,9.0,12.7,13.0,12.2,41.6,144.7,2.5,3.1,-1.6,-1.6,-1.6,-1.6,-1.6,28.9,69.5,8.9,24.9,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,99.6,99.6,-1.6,100.0,100.0,100.0,0.9,0.2,1.3,0.1,68.4,3.3,2.02,27.5,100.0,1.05,49.4,23.8,0.97,18.0,6.2,13.1,5.7,24.8,0.95
 Eswatini (Kingdom of),80.9,485.0,2.38,0.99,33.1,0.235,7.0,16.9,0.528,68.1,18.7,39.6,5852.0,9947.0,11.2,10.8,11.6,99.7,0.8,34.1,34.1,0.945,0.573,11.4,7758.0,10.2,11.4,7836.0,485.0,0.564,0.597,0.584,0.659,33.1,33.1,33.1,11.4,26.8,37.6,35.0,0.387,0.389,0.41100000000000003,0.371,4.0,11.0,873.0,25.6,42.1,66.7,53.8,57.1,60.3,53.7,0.5710000000000001,0.597,389.0,6.5,6.1,6.9,20.4,71.3,53.1,71.3,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,66.7,33.3,11.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.6,58.0,-1.0,28.8,27.3,30.5,0.8,0.0,1.3,0.2,23.3,-0.1,2.38,66.1,58.2,1.03,28.9,14.7,1.04,485.0,26.3,53.5,19.1,63.5,0.99
 Ethiopia,68.5,192.0,1.69,1.45,25.5,0.3,4.0,58.65,0.322,69.9,21.5,78.5,1153.0,1902.0,8.5,8.2,9.0,39.7,4.1,12.5,12.5,0.8440000000000001,0.509,40.7,1533.0,153.1,40.7,1527.0,192.0,0.413,0.489,0.451,0.41200000000000003,25.5,25.5,25.5,40.7,36.6,9.5,30.3,0.204,0.332,0.373,0.483,15.0,35.0,864.0,13.9,77.0,88.3,82.6,65.0,66.9,63.2,0.693,0.489,353.0,2.6,1.6,3.7,18.6,42.4,42.6,61.3,-0.1,-0.1,-0.1,-0.1,-0.1,6.3,88.3,26.3,40.7,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,39.1,7.1,-0.1,15.8,10.8,20.7,54.8,3.5,99.9,14.9,19.4,-2.4,1.69,92.2,20.2,1.04,59.3,37.3,2.4,192.0,5.0,7.1,88.5,75.8,1.45
 Fiji,43.4,51.0,5.76,1.31,15.1,0.214,3.6,119.6,0.785,39.4,47.5,54.9,5481.0,10720.0,15.3,13.75,13.149999999999999,105.5,7.1,55.7,55.7,0.962,0.35200000000000004,17.9,8478.0,7.6,16.4,8145.0,51.0,0.726,0.7505,0.738,0.665,15.1,15.1,15.1,17.9,10.5,22.6,12.3,0.703,0.625,0.514,0.6759999999999999,1.0,6.0,755.0,42.5,40.9,75.7,58.5,70.1,73.3,67.3,0.7709999999999999,0.7505,30.0,10.8,10.9,10.2,27.6,108.3,19.1,22.5,-6.6,-6.6,-6.6,-6.6,-6.6,8.9,75.7,15.3,17.9,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,93.7,95.7,-6.6,72.9,73.9,66.5,0.6,0.1,0.9,0.1,54.7,-5.8,5.76,31.3,95.3,1.06,34.1,16.0,1.71,51.0,6.1,18.2,38.7,43.9,1.31
 Finland,7.1,5.6,0.37,0.89,5.7,0.141,9.4,156.9,0.904,4.2,74.1,53.3,33152.0,45539.0,17.6,18.4,16.9,73.5,7.2,73.1,73.1,1.002,0.061,20.9,38942.0,213.4,20.4,39248.0,5.6,0.914,0.9129999999999999,0.915,0.902,5.7,5.7,5.7,20.9,2.0,11.6,3.4,0.885,0.862,0.797,0.9079999999999999,1.0,5.0,2622.0,86.4,55.5,62.3,58.8,81.1,84.0,78.3,0.941,0.9129999999999999,3.0,12.4,12.6,12.3,42.5,134.9,2.0,2.4,3.0,3.0,3.0,3.0,3.0,32.0,62.3,5.8,20.9,3.0,3.0,3.0,3.0,3.0,3.0,100.0,99.4,3.0,100.0,100.0,100.0,3.5,1.1,5.5,0.3,85.2,-9.7,0.37,43.2,100.0,1.05,49.6,41.5,0.89,5.6,9.4,22.3,10.0,25.9,0.89
 France,9.0,8.1,0.97,0.96,9.3,0.098,11.1,147.4,0.84,2.8,76.9,49.8,31677.0,45293.0,16.4,16.8,16.0,61.8,1.8,31.0,31.0,0.988,0.10400000000000001,22.7,37766.0,2515.0,21.5,38367.0,8.1,0.892,0.903,0.898,0.899,9.3,9.3,9.3,22.7,7.5,16.3,4.0,0.777,0.813,0.752,0.9209999999999999,1.0,9.0,84452.0,84.7,50.7,60.7,55.6,82.4,85.3,79.4,0.96,0.903,8.0,11.5,11.3,11.8,41.2,103.5,3.2,3.9,1.1,1.1,1.1,1.1,1.1,30.2,60.7,9.4,22.7,1.1,1.1,1.1,1.1,1.1,1.1,100.0,98.7,1.1,82.5,79.7,85.6,40.5,12.2,64.5,3.9,79.7,2.0,0.97,13.5,100.0,1.05,47.7,25.7,0.92,8.1,10.4,24.6,7.4,29.1,0.96
 Gabon,103.3,465.0,1.95,1.15,23.8,0.777,2.7,16.9,0.618,41.2,46.1,40.6,11774.0,20936.0,12.6,12.5,13.3,73.9,4.3,89.3,89.3,0.9109999999999999,0.542,30.5,16837.0,32.5,29.2,16482.0,465.0,0.664,0.7290000000000001,0.6940000000000001,0.7709999999999999,23.8,23.8,23.8,30.5,23.5,20.4,27.6,0.473,0.529,0.614,0.509,13.0,32.0,1915.5,45.8,42.3,58.8,50.9,65.7,67.3,64.2,0.703,0.7290000000000001,291.0,8.1,7.3,9.0,22.6,146.2,35.8,50.6,9.6,9.6,9.6,9.6,9.6,7.6,58.8,23.9,30.5,9.6,9.6,9.6,9.6,9.6,9.6,87.5,40.9,9.6,54.1,62.3,45.9,1.2,0.1,1.9,0.3,88.1,-2.4,1.95,82.0,49.8,1.03,24.0,16.0,2.0,465.0,20.2,36.2,31.6,59.9,1.15
 Gambia,86.1,174.0,14.98,1.4,20.2,0.35200000000000004,6.7,58.65,0.368,28.4,56.1,53.7,803.0,2248.0,9.2,9.3,9.2,75.1,-0.2,48.2,48.2,0.82,0.634,19.7,1568.0,3.1,19.7,1518.0,174.0,0.405,0.494,0.457,0.41100000000000003,20.2,20.2,20.2,19.7,17.45,26.9,31.3,0.5475,0.5645,0.3,0.433,1.0,3.0,135.0,16.5,51.0,67.9,59.3,61.0,62.3,59.7,0.63,0.494,706.0,3.4,2.6,4.2,17.0,137.3,43.2,67.5,-1.5,-1.5,-1.5,-1.5,-1.5,4.5,67.9,20.65,19.7,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,80.1,41.7,-1.5,31.9,25.3,39.1,1.0,0.0,2.0,0.4,59.2,-2.4,14.98,51.5,14.9,1.03,38.7,9.4,1.87,174.0,9.4,12.9,72.4,87.8,1.4
 Georgia,48.8,99.0,10.42,1.08,12.2,0.183,7.9,57.5,0.831,41.8,46.0,60.0,5964.0,11834.0,14.7,15.0,14.4,107.0,11.9,40.6,40.6,0.9790000000000001,0.373,31.5,9025.0,33.5,28.4,8766.0,99.0,0.755,0.7709999999999999,0.7709999999999999,0.6759999999999999,12.2,12.2,12.2,31.5,2.2,24.1,10.3,0.813,0.674,0.513,0.733,3.0,4.0,5901.0,47.6,58.9,78.7,68.1,73.1,77.3,68.8,0.8170000000000001,0.7709999999999999,36.0,12.7,12.3,12.2,38.0,140.5,10.2,11.4,-14.9,-14.9,-14.9,-14.9,-14.9,21.9,78.7,12.7,31.5,-14.9,-14.9,-14.9,-14.9,-14.9,-14.9,93.3,84.9,-14.9,96.7,96.1,96.0,2.6,0.6,4.0,0.3,57.4,-8.5,10.42,28.7,100.0,1.09,46.4,11.3,0.77,99.0,12.0,30.4,56.2,28.1,1.08
 Germany,7.3,8.0,0.47,0.91,7.0,0.105,11.2,134.3,0.94,1.4,70.9,57.5,36258.0,53556.0,17.0,16.9,17.0,85.8,1.6,32.7,32.7,0.9670000000000001,0.071,19.1,43938.0,3589.1,19.9,44766.0,8.0,0.9159999999999999,0.9470000000000001,0.9329999999999999,0.922,7.0,7.0,7.0,19.1,2.6,14.8,3.7,0.9159999999999999,0.866,0.7859999999999999,0.902,1.0,3.0,34970.0,87.6,54.6,66.2,60.3,80.8,83.2,78.4,0.9359999999999999,0.9470000000000001,6.0,14.1,13.6,14.5,45.9,117.9,3.3,3.9,4.4,4.4,4.4,4.4,4.4,32.1,66.2,7.2,19.1,4.4,4.4,4.4,4.4,4.4,4.4,100.0,99.2,4.4,96.5,96.4,96.8,53.7,17.3,81.7,3.5,77.2,8.5,0.47,14.2,100.0,1.06,46.7,36.9,0.84,8.0,4.6,7.2,6.1,19.9,0.91
 Ghana,69.2,160.0,13.34,1.07,32.5,0.424,5.9,35.8,0.556,42.5,43.5,75.1,3157.0,4572.0,11.7,11.4,11.9,100.5,8.6,41.0,41.0,0.898,0.55,16.7,3927.0,108.3,15.9,3861.0,160.0,0.552,0.614,0.585,0.552,32.5,32.5,32.5,16.7,34.9,31.7,30.8,0.36200000000000004,0.395,0.377,0.452,3.0,11.0,897.0,31.4,74.5,79.0,76.7,62.4,63.4,61.4,0.653,0.614,319.0,6.9,5.8,7.9,20.4,126.9,42.4,61.0,-0.4,-0.4,-0.4,-0.4,-0.4,5.9,79.0,32.5,16.7,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,77.8,14.3,-0.4,59.8,51.8,68.5,15.9,0.9,27.6,4.0,54.1,-10.4,13.34,41.4,60.3,1.05,52.8,10.9,1.15,160.0,2.2,4.5,66.7,67.1,1.07
 Greece,7.9,4.5,0.22,1.1,12.1,0.253,8.4,135.2,0.833,12.9,72.2,39.9,19250.0,29407.0,17.3,17.0,17.5,63.4,0.6,31.5,31.5,0.963,0.121,9.8,24170.0,261.5,11.5,24251.0,4.5,0.848,0.8809999999999999,0.866,0.8290000000000001,12.1,12.1,12.1,9.8,11.7,21.1,3.7,0.735,0.758,0.655,0.905,1.0,3.0,23599.0,66.8,45.5,61.1,53.1,81.0,83.7,78.5,0.9390000000000001,0.8809999999999999,3.0,10.6,10.3,10.9,43.3,112.0,3.1,3.8,-2.9,-2.9,-2.9,-2.9,-2.9,30.5,61.1,12.4,9.8,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,100.0,99.0,-2.9,67.5,63.7,71.7,7.3,2.2,11.2,0.5,78.0,4.7,0.22,17.2,100.0,1.06,41.7,19.7,1.33,4.5,24.9,49.9,28.2,22.2,1.1
 Guatemala,74.8,26.0,10.31,1.51,29.1,0.139,5.7,42.8,0.509,31.9,49.2,59.8,4783.0,9509.0,10.8,10.6,10.9,51.3,1.8,33.0,33.0,0.948,0.496,13.6,7293.0,118.5,13.3,7108.0,26.0,0.624,0.6579999999999999,0.645,0.644,29.1,29.1,29.1,13.6,36.2,34.1,17.0,0.325,0.45399999999999996,0.425,0.679,1.0,23.0,1865.0,28.8,39.1,85.6,61.5,73.2,76.3,69.9,0.818,0.6579999999999999,88.0,6.3,6.3,6.3,21.3,111.5,24.6,29.5,-0.6,-0.6,-0.6,-0.6,-0.6,7.6,85.6,29.6,13.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,93.6,67.4,-0.6,36.8,37.4,36.2,9.6,0.7,16.3,2.0,50.0,-1.7,10.31,63.7,84.1,1.05,43.1,13.9,1.91,26.0,2.7,5.9,36.9,61.1,1.51
 Guinea,140.6,177.0,1.47,0.82,33.6,0.446,4.5,26.1,0.33899999999999997,68.0,26.3,61.5,1448.0,1879.0,9.1,7.8,10.4,72.4,-0.6,25.9,25.9,0.8059999999999999,0.3745,24.2,1758.0,21.3,24.0,1664.0,177.0,0.396,0.491,0.44299999999999995,0.425,33.6,33.6,33.6,24.2,48.3,17.1,35.4,0.175,0.289,0.35200000000000004,0.392,37.0,52.0,35.0,8.2,63.0,65.8,64.4,59.4,59.9,58.9,0.606,0.491,679.0,2.6,1.5,3.9,18.4,89.0,60.0,92.0,-4.4,-4.4,-4.4,-4.4,-4.4,5.6,65.8,34.8,24.2,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,67.4,22.0,-4.4,62.6,63.85,65.65,6.6,0.4,12.1,1.9,35.1,1.2,1.47,76.3,2.4,1.02,43.3,21.9,0.64,177.0,4.5,5.5,90.1,78.6,0.82
 Guinea-Bissau,91.3,373.0,8.11,1.05,39.1,0.875,6.9,23.9,0.389,83.7,9.3,67.1,1212.0,1766.0,10.5,13.75,13.149999999999999,59.8,1.8,70.1,70.1,0.962,0.3745,8.1,1446.0,2.6,9.4,1485.0,373.0,0.726,0.7505,0.449,0.408,39.1,39.1,39.1,8.1,40.3,32.5,44.6,0.23199999999999998,0.272,0.275,0.315,5.0,19.0,44.0,3.5,65.3,78.0,71.5,57.0,58.7,55.3,0.569,0.7505,549.0,2.9,8.8,9.149999999999999,18.9,70.0,59.6,91.3,-1.2,-1.2,-1.2,-1.2,-1.2,5.2,78.0,39.3,8.1,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,69.2,21.5,-1.2,62.6,63.85,65.65,1.0,0.1,1.8,0.3,42.1,-2.2,8.11,86.9,4.0,1.03,29.2,13.7,1.19,373.0,6.2,11.5,64.2,75.2,1.05
 Guyana,88.0,93.0,9.56,1.24,18.5,0.365,4.5,64.6,0.596,15.2,60.0,50.6,4441.0,10091.0,11.4,11.7,11.0,101.3,4.3,84.0,84.0,0.9470000000000001,0.509,32.3,7077.0,5.4,32.3,7287.0,93.0,0.629,0.664,0.6509999999999999,0.648,18.5,18.5,18.5,32.3,10.5,24.4,20.7,0.534,0.529,0.489,0.568,4.0,1.0,207.0,34.0,40.2,74.7,57.5,66.5,68.9,64.3,0.716,0.664,229.0,8.4,8.4,8.4,24.6,70.6,27.6,33.4,-7.2,-7.2,-7.2,-7.2,-7.2,7.7,74.7,18.7,32.3,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,95.1,86.2,-7.2,60.9,68.1,53.2,0.5,0.0,0.8,0.1,26.4,-4.0,9.56,25.3,81.0,1.05,37.2,30.4,1.81,93.0,11.9,26.6,27.8,45.8,1.24
 Haiti,39.4,194.0,25.16,1.18,39.2,0.517,6.9,32.2,0.426,42.6,45.4,58.1,1391.0,1930.0,9.1,8.8,9.5,70.6,1.2,3.5,3.5,0.8809999999999999,0.593,41.1,1651.0,17.7,41.1,1658.0,194.0,0.462,0.524,0.493,0.424,39.2,39.2,39.2,41.1,38.3,48.4,30.9,0.263,0.298,0.21899999999999997,0.45799999999999996,20.0,47.0,516.0,12.2,63.2,72.2,67.6,63.1,65.2,60.9,0.662,0.524,359.0,5.2,3.9,6.6,23.0,68.2,52.2,68.9,-2.9,-2.9,-2.9,-2.9,-2.9,7.5,72.2,39.6,41.1,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,64.2,30.5,-2.9,32.0,25.7,38.7,6.6,0.5,10.7,1.2,52.4,-2.4,25.16,76.1,0.5,1.05,58.6,3.5,1.3,194.0,14.1,35.6,87.5,54.8,1.18
 Honduras,74.3,41.0,17.48,1.7,28.5,0.213,7.6,57.9,0.494,28.7,49.5,64.7,3043.0,5008.0,10.2,10.7,9.8,107.3,6.3,41.0,41.0,0.977,0.465,25.1,4319.0,38.7,23.7,4023.0,41.0,0.6,0.614,0.609,0.5579999999999999,28.5,28.5,28.5,25.1,24.4,41.5,19.6,0.373,0.43200000000000005,0.327,0.66,1.0,3.0,880.0,27.6,50.3,85.9,67.9,73.4,75.9,70.8,0.821,0.614,129.0,6.3,6.4,6.2,23.0,89.8,16.6,19.4,-0.3,-0.3,-0.3,-0.3,-0.3,7.1,85.9,29.2,25.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,92.2,79.8,-0.3,34.2,35.4,32.3,5.6,0.4,9.0,1.0,55.2,-4.4,17.48,51.5,78.3,1.05,47.7,25.8,1.91,41.0,4.6,8.0,41.8,52.7,1.7
 Hungary,20.0,10.0,3.63,0.94,7.6,0.125,7.2,58.3,0.818,4.9,64.8,51.1,18632.0,29378.0,15.2,15.6,14.9,171.6,-4.0,22.9,22.9,0.986,0.26,21.8,25034.0,246.4,21.9,23740.0,10.0,0.8270000000000001,0.8390000000000001,0.8340000000000001,0.826,7.6,7.6,7.6,21.8,3.1,14.6,5.2,0.792,0.769,0.706,0.8140000000000001,1.0,1.0,4929.0,72.8,47.3,63.4,54.8,75.8,79.2,72.2,0.8590000000000001,0.8390000000000001,17.0,11.8,11.6,12.1,41.7,120.5,4.6,5.4,0.6,0.6,0.6,0.6,0.6,25.7,63.4,7.8,21.8,0.6,0.6,0.6,0.6,0.6,0.6,100.0,98.0,0.6,96.6,95.6,98.0,6.7,1.7,9.8,0.4,70.5,2.8,3.63,15.6,100.0,1.06,46.8,10.1,1.06,10.0,6.8,17.2,5.8,21.2,0.94
 Iceland,8.1,2.4,1.23,0.8,5.7,0.45,8.6,106.9,0.9059999999999999,4.2,77.9,74.0,35299.0,49502.0,19.3,20.5,18.2,99.0,6.8,0.5,0.5,0.966,0.067,19.1,43048.0,14.2,19.0,42425.0,2.4,0.9129999999999999,0.9440000000000001,0.927,0.914,5.7,5.7,5.7,19.1,2.5,11.7,2.9,0.884,0.8740000000000001,0.807,0.935,4.0,7.0,1289.0,98.2,73.1,81.0,77.0,82.6,84.1,81.1,0.963,0.9440000000000001,3.0,12.2,12.2,12.6,36.0,116.3,1.7,2.2,-1.3,-1.3,-1.3,-1.3,-1.3,20.8,81.0,5.8,19.1,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,100.0,98.8,-1.3,99.2,100.0,100.0,0.2,0.0,0.3,0.0,93.7,19.1,1.23,77.0,100.0,1.05,48.1,41.3,1.0,2.4,4.0,8.6,8.8,30.8,0.8
 India,26.7,217.0,3.28,1.03,26.5,0.12,3.9,75.7,0.542,44.4,31.7,52.1,2437.0,8714.0,12.0,12.3,11.6,41.9,2.1,23.8,23.8,0.8320000000000001,0.534,31.8,5757.0,7535.8,28.5,5691.0,217.0,0.56,0.6729999999999999,0.627,0.61,26.5,26.5,26.5,31.8,39.4,16.1,24.0,0.32899999999999996,0.456,0.512,0.565,10.0,13.0,13284.0,26.0,27.3,79.1,54.0,68.3,69.9,66.9,0.743,0.6729999999999999,174.0,6.3,4.8,8.2,26.7,76.5,36.2,45.2,-0.4,-0.4,-0.4,-0.4,-0.4,8.6,79.1,27.1,31.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,87.6,44.2,-0.4,48.7,35.3,61.4,860.1,73.8,1309.1,121.4,32.8,-2.2,3.28,36.0,83.2,1.11,18.5,12.2,1.27,217.0,3.5,10.4,78.0,43.6,1.03
 Indonesia,48.9,395.0,1.12,1.0,18.2,0.138,3.3,46.8,0.616,33.0,44.9,62.9,6654.0,13371.0,12.7,12.7,12.7,41.9,2.3,50.2,50.2,0.9279999999999999,0.46799999999999997,34.1,10368.0,2676.5,32.8,10037.0,395.0,0.657,0.7090000000000001,0.6859999999999999,0.696,18.2,18.2,18.2,34.1,20.8,17.3,16.5,0.488,0.561,0.5760000000000001,0.63,5.0,25.0,10407.0,22.0,48.9,82.7,65.8,69.0,71.2,67.0,0.754,0.7090000000000001,126.0,7.9,7.4,8.4,28.0,131.3,22.9,27.3,-0.7,-0.7,-0.7,-0.7,-0.7,7.6,82.7,18.2,34.1,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,89.5,67.9,-0.7,47.3,42.9,51.7,173.1,13.2,258.2,24.6,53.3,-3.1,1.12,36.9,95.2,1.05,37.4,17.1,1.0,395.0,4.5,16.7,47.4,41.6,1.0
 Iran (Islamic Republic of),26.8,16.0,0.34,1.17,31.5,0.515,7.6,68.5,0.741,18.0,49.4,38.1,4879.0,28042.0,14.9,14.6,15.1,39.0,0.5,6.6,6.6,0.861,0.512,34.0,16501.0,1309.5,22.7,16537.0,16.0,0.711,0.825,0.789,0.772,31.5,31.5,31.5,34.0,37.3,46.6,10.6,0.465,0.528,0.41200000000000003,0.767,1.0,1.0,5237.0,45.3,15.2,70.3,42.8,75.7,76.9,74.7,0.857,0.825,25.0,9.8,9.7,9.9,29.5,93.5,13.5,15.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.1,70.3,33.1,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.9,88.3,-1.0,67.7,66.8,70.2,56.6,4.0,79.4,6.9,73.4,-2.4,0.34,0.9,99.9,1.05,15.1,3.1,2.08,16.0,11.1,25.7,40.3,33.1,1.17
