,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Estonia,14.3,23.5,42.0,0.54,12.4,1.89,0.94,5.0,68.0,0.85,5.2,60.7,53.9,17471.0,27157.0,16.1,17.2,15.1,136.9,22.3,53.1,53.1,30.3,1.0390000000000001,0.213,4.8,33.2,22807.0,30.9,119.0,99.0,103.0,68.0,32.9,21972.0,0.4,42.0,8.3,0.84,0.809,0.825,0.815,33.2,1.0,4.0,1917.0,61.5,53.5,64.7,58.6,72.6,78.0,67.1,0.81,0.809,15.0,12.1,12.4,12.0,39.4,106.6,99.0,5.7,274.0,7.1,-2.7,-2.7,-2.7,-2.7,-2.7,2.3,24.6,64.7,33.2,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,99.3,99.3,-2.7,93.6,96.0,96.9,0.9,0.2,1.4,0.1,68.7,8.3,0.0,99.6,22.0,8.3,1.89,18.9,100.0,1.06,51.4,18.8,0.75,42.0,8.0,15.1,5.3,28.8,22.3,0.94
 Eswatini (Kingdom of),5.3,102.2,1180.0,0.14,0.9,3.0,0.99,5.9,14.0,0.426,69.1,16.4,40.9,4521.0,9934.0,9.9,9.6,10.2,132.7,-1.4,31.5,31.5,0.0,0.8690000000000001,0.616,6.5,17.4,6746.0,7.5,57.0,103.0,47.0,5.0,17.4,7140.0,28.3,1180.0,13.7,0.46,0.529,0.48,0.645,17.4,5.0,7.0,837.0,3.7,38.8,68.0,52.6,46.2,47.7,44.5,0.40299999999999997,0.529,595.0,4.5,5.0,6.9,18.0,18.1,549.0,78.5,646.0,124.7,-8.5,-8.5,-8.5,-8.5,-8.5,1.4,5.5,68.0,17.4,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,57.2,52.1,-8.5,18.5,16.4,20.3,0.6,0.0,1.1,0.2,22.0,13.7,0.6,98.2,33.0,13.7,3.0,49.7,28.4,1.03,25.9,16.8,1.07,1180.0,22.1,41.2,19.8,42.6,76.9,0.99
 Ethiopia,8.3,105.2,341.0,0.09,0.1,1.4,1.85,4.1,49.5,0.247,80.2,13.1,80.0,512.0,956.0,6.6,5.6,7.5,76.6,2.1,13.0,13.0,4.1,0.765,0.611,4.4,0.0,732.0,56.2,2.0,79.0,25.0,3.0,21.7,733.0,2.2,341.0,9.4,0.297,0.38799999999999996,0.34600000000000003,0.301,0.0,39.0,60.0,227.0,0.2,78.4,90.8,84.5,56.2,57.6,54.8,0.557,0.38799999999999996,743.0,1.9,1.2,2.7,16.8,0.5,318.0,70.2,358.0,110.2,-0.2,-0.2,-0.2,-0.2,-0.2,15.6,6.1,90.8,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,24.0,4.4,-0.2,55.2,3.3,6.3,38.9,2.4,76.7,13.5,15.7,9.4,-2.1,5.7,22.0,9.4,1.4,95.1,1.9,1.04,56.7,21.0,2.96,341.0,5.4,7.6,91.5,79.6,91.0,1.85
 Fiji,12.5,41.2,20.0,0.18,1.3,6.76,1.25,3.5,111.6,0.6970000000000001,44.2,42.4,53.6,4924.0,9543.0,14.1,14.3,13.8,118.3,6.2,54.6,54.6,0.0,0.955,0.409,5.1,23.0,7427.0,6.1,57.0,101.0,85.0,16.0,21.0,7279.0,0.1,20.0,2.8,0.6759999999999999,0.708,0.695,0.648,23.0,1.0,10.0,545.0,8.5,38.1,73.8,56.2,68.4,71.3,65.8,0.745,0.708,39.0,9.2,9.1,9.3,25.3,24.9,162.0,19.6,258.0,23.1,-15.1,-15.1,-15.1,-15.1,-15.1,2.2,6.3,73.8,23.0,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,94.4,84.3,-15.1,57.8,55.0,56.1,0.5,0.0,0.8,0.1,49.9,2.8,-5.4,97.2,22.0,2.8,6.76,43.6,71.1,1.06,32.8,9.7,1.76,20.0,4.6,11.7,39.6,16.5,46.7,1.25
 Finland,15.6,10.6,7.4,0.27,10.4,0.34,0.98,8.0,91.3,0.8759999999999999,4.8,69.4,55.5,31553.0,47350.0,17.2,17.7,16.6,76.6,5.3,72.7,72.7,49.3,1.001,0.08800000000000001,6.0,24.6,39116.0,205.2,60.0,98.0,112.0,92.0,23.0,39285.0,0.4,7.4,2.3,0.895,0.894,0.895,0.902,24.6,1.0,3.0,2080.0,74.5,56.6,64.8,60.6,79.0,82.3,75.5,0.907,0.894,4.0,12.0,12.1,12.0,40.9,100.2,63.0,3.1,138.0,3.8,1.2,1.2,1.2,1.2,1.2,2.3,24.1,64.8,24.6,1.2,1.2,1.2,1.2,1.2,1.2,100.0,99.4,1.2,100.0,100.0,100.0,3.5,0.8,5.3,0.3,82.9,2.3,3.5,99.8,16.0,2.3,0.34,31.5,100.0,1.05,49.0,37.5,1.05,7.4,8.4,20.0,8.8,28.8,26.0,0.98
 France,10.2,10.8,9.5,0.17,6.1,0.65,1.04,10.2,106.1,0.794,3.6,72.6,51.4,28386.0,46286.0,16.1,16.5,15.8,54.0,3.9,29.0,29.0,52.3,0.985,0.157,5.5,22.5,36506.0,2306.4,116.0,109.0,114.0,55.0,21.8,37168.0,0.3,9.5,1.6,0.862,0.875,0.8690000000000001,0.894,22.5,1.0,13.0,74988.0,42.9,50.1,62.6,56.2,80.1,83.7,76.6,0.925,0.875,10.0,10.4,10.1,10.7,38.9,78.5,57.0,3.8,127.0,4.6,1.6,1.6,1.6,1.6,1.6,2.3,25.3,62.6,22.5,1.6,1.6,1.6,1.6,1.6,1.6,99.9,98.7,1.6,74.1,71.3,78.4,39.9,10.1,61.2,3.8,77.1,1.6,2.4,97.9,19.0,1.6,0.65,8.6,100.0,1.05,46.2,13.9,1.19,9.5,8.5,20.2,6.6,28.8,28.3,1.04
 Gabon,9.3,138.5,592.0,0.21,3.5,0.12,1.05,2.8,9.7,0.575,43.3,44.5,39.5,10750.0,21609.0,12.4,12.2,12.6,84.0,3.4,85.4,85.4,20.4,0.917,0.589,4.4,21.4,16804.0,23.6,57.0,101.0,85.0,26.0,21.0,16189.0,5.7,592.0,11.0,0.605,0.659,0.647,0.768,21.4,31.0,45.0,269.0,4.9,37.9,57.3,47.5,59.9,60.4,59.3,0.614,0.659,370.0,6.9,6.0,6.0,20.2,52.5,316.0,48.5,313.0,76.1,4.7,4.7,4.7,4.7,4.7,0.6,9.9,57.3,21.4,4.7,4.7,4.7,4.7,4.7,4.7,82.5,39.7,4.7,40.8,48.8,32.5,0.8,0.1,1.4,0.2,82.5,11.0,-1.8,98.2,22.0,11.0,0.12,85.2,34.6,1.03,25.5,11.9,1.23,592.0,16.9,35.2,31.9,17.7,70.3,1.05
 Gambia,-9.4,119.6,191.0,0.13,0.2,9.5,1.39,4.9,19.6,0.303,34.2,49.6,53.0,1046.0,1918.0,8.1,7.9,8.3,82.4,8.6,46.5,46.5,0.0,0.841,0.6579999999999999,1.1,22.0,1533.0,2.2,57.0,90.0,85.0,26.0,22.0,1478.0,2.1,191.0,9.8,0.379,0.45,0.41600000000000004,0.40700000000000003,22.0,5.0,9.0,108.0,3.8,48.5,68.8,58.5,57.9,59.1,56.8,0.583,0.45,807.0,2.4,1.6,3.2,16.8,17.1,262.0,55.2,314.0,96.6,-2.1,-2.1,-2.1,-2.1,-2.1,10.1,4.9,68.8,22.0,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,76.0,50.2,-2.1,20.0,13.2,27.2,0.7,0.0,1.4,0.3,52.0,9.8,-2.2,98.2,37.0,9.8,9.5,60.0,8.1,1.03,35.6,13.2,1.85,191.0,9.4,12.8,75.8,62.3,90.3,1.39
 Georgia,12.7,48.4,175.0,0.25,1.2,6.96,1.06,8.3,21.6,0.753,54.3,36.4,54.6,2842.0,7374.0,12.6,12.2,12.1,85.3,7.1,39.9,39.9,64.4,0.9329999999999999,0.38799999999999996,2.5,33.5,4902.0,20.5,51.0,90.0,80.0,46.0,28.1,4983.0,0.1,175.0,9.0,0.675,0.7240000000000001,0.7120000000000001,0.59,33.5,9.0,10.0,560.0,6.1,55.2,73.0,63.4,72.7,76.4,68.9,0.8109999999999999,0.7240000000000001,37.0,12.1,11.9,12.1,35.0,26.2,76.0,21.8,203.0,24.6,-12.1,-12.1,-12.1,-12.1,-12.1,4.5,21.7,73.0,33.5,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,90.1,92.9,-12.1,92.4,91.2,93.9,3.0,0.6,4.5,0.3,53.6,9.0,-8.7,98.3,22.0,9.0,6.96,41.5,97.5,1.11,44.5,9.4,0.86,175.0,13.8,28.0,64.5,26.7,29.4,1.06
 Germany,9.7,12.4,8.0,0.26,9.7,0.24,0.92,10.3,132.6,0.902,2.4,67.8,51.9,28085.0,48480.0,16.5,16.3,16.7,70.4,2.1,32.6,32.6,81.9,0.9590000000000001,0.11699999999999999,4.4,18.8,37704.0,3109.4,96.0,103.0,102.0,26.0,19.1,38051.0,0.4,8.0,1.1,0.875,0.9129999999999999,0.903,0.898,18.8,2.0,4.0,21500.0,68.7,50.7,66.7,58.5,79.2,82.0,76.3,0.9109999999999999,0.9129999999999999,7.0,13.3,12.3,13.0,42.1,97.1,58.0,3.9,112.0,4.7,2.0,2.0,2.0,2.0,2.0,2.3,28.3,66.7,18.8,2.0,2.0,2.0,2.0,2.0,2.0,100.0,99.2,2.0,96.9,96.5,97.3,54.5,15.4,81.7,3.6,76.0,1.1,2.3,98.2,14.0,1.1,0.24,6.8,100.0,1.06,45.1,30.5,0.96,8.0,11.2,15.5,7.5,28.8,21.6,0.92
 Ghana,5.2,79.5,203.0,0.13,0.3,0.92,1.06,6.3,30.8,0.45399999999999996,49.0,35.2,71.8,2095.0,3017.0,8.7,8.2,9.1,98.2,1.4,39.8,39.8,37.6,0.8640000000000001,0.574,7.4,29.0,2539.0,54.7,60.0,89.0,41.0,6.0,29.0,2556.0,2.9,203.0,1.8,0.47100000000000003,0.545,0.509,0.49,29.0,12.0,17.0,429.0,1.8,73.1,77.7,75.4,58.7,59.5,57.9,0.595,0.545,376.0,6.4,5.2,7.6,19.3,13.3,261.0,57.1,298.0,86.9,1.6,1.6,1.6,1.6,1.6,10.9,6.0,77.7,29.0,1.6,1.6,1.6,1.6,1.6,1.6,69.0,12.2,1.6,50.6,40.3,60.9,12.1,0.7,21.5,3.2,47.3,1.8,-1.4,98.2,33.0,1.8,0.92,61.4,30.0,1.05,52.2,10.9,1.14,203.0,4.7,8.7,79.4,44.2,72.5,1.06
 Greece,3.3,10.9,7.1,0.3,9.0,0.49,1.35,9.0,106.7,0.768,12.2,65.5,48.3,21215.0,37348.0,15.9,16.0,15.8,50.9,0.3,29.1,29.1,93.4,0.961,0.18100000000000002,4.0,22.1,29559.0,324.8,63.0,95.0,98.0,85.0,20.8,29203.0,0.4,7.1,1.2,0.8270000000000001,0.861,0.845,0.858,22.1,4.0,4.0,14765.0,24.0,42.7,64.9,53.6,79.6,82.4,76.9,0.917,0.861,3.0,9.8,9.4,10.2,39.3,90.8,47.0,3.9,111.0,4.6,2.0,2.0,2.0,2.0,2.0,2.3,26.6,64.9,22.1,2.0,2.0,2.0,2.0,2.0,2.0,99.7,97.4,2.0,58.3,53.9,63.0,7.6,2.0,11.3,0.6,74.5,1.2,-3.3,98.2,11.0,1.2,0.49,7.7,100.0,1.07,37.4,13.0,2.46,7.1,10.0,25.6,28.2,28.8,22.5,1.35
 Guatemala,5.2,106.6,36.0,0.15,1.0,11.27,1.39,6.6,34.4,0.39,36.0,43.1,63.3,3976.0,8429.0,9.8,9.5,10.2,66.0,2.0,36.7,36.7,44.2,0.907,0.5720000000000001,4.4,19.7,6269.0,82.1,57.0,110.0,49.0,26.0,18.3,6159.0,0.4,36.0,40.8,0.542,0.598,0.5710000000000001,0.622,19.7,3.0,7.0,1316.0,5.7,44.4,87.3,64.9,69.8,72.9,66.5,0.7659999999999999,0.598,120.0,3.5,3.2,4.2,18.5,34.4,138.0,34.4,249.0,42.7,-4.5,-4.5,-4.5,-4.5,-4.5,1.0,7.8,87.3,19.7,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,88.3,62.0,-4.5,14.8,13.3,17.8,7.0,0.5,13.1,2.0,46.9,40.8,-1.4,98.2,31.0,40.8,11.27,57.3,64.2,1.05,46.9,8.2,1.79,36.0,2.5,4.6,44.4,15.4,78.9,1.39
 Guinea,-9.7,165.3,210.0,0.13,0.2,1.42,0.84,4.5,17.7,0.251,70.1,24.0,62.1,1168.0,1651.0,7.1,5.7,8.5,69.9,3.6,27.4,27.4,73.95,0.774,0.428,1.8,19.5,1504.0,14.6,9.0,79.0,29.0,3.0,18.6,1409.0,1.7,210.0,10.1,0.32299999999999995,0.41700000000000004,0.371,0.4,19.5,25.0,49.0,45.0,0.5,62.8,67.4,65.1,53.2,53.6,52.7,0.51,0.41700000000000004,831.0,1.6,0.9,2.4,17.8,2.0,303.0,82.5,334.0,132.2,-8.0,-8.0,-8.0,-8.0,-8.0,7.3,6.1,67.4,19.5,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,58.7,13.3,-8.0,55.2,51.7,55.8,5.1,0.3,9.7,1.7,32.3,10.1,-3.6,38.0,45.0,10.1,1.42,81.6,2.8,1.02,42.7,19.3,0.63,210.0,4.6,5.6,91.0,83.8,83.4,0.84
 Guyana,4.7,100.2,106.0,0.41,1.9,24.4,1.19,5.4,98.9,0.57,23.5,52.6,49.2,2325.0,7002.0,11.0,11.4,10.7,203.8,9.3,84.3,84.3,0.0,0.934,0.534,8.1,24.8,4699.0,3.5,91.0,100.0,85.0,12.0,24.8,4669.0,1.2,106.0,18.9,0.586,0.627,0.614,0.581,24.8,7.0,8.0,117.0,10.1,34.1,78.0,55.8,65.5,68.2,63.0,0.701,0.627,232.0,7.9,8.5,7.6,22.9,37.5,178.0,33.5,269.0,41.5,-17.1,-17.1,-17.1,-17.1,-17.1,19.3,7.0,78.0,24.8,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,90.4,80.9,-17.1,49.7,55.9,42.6,0.4,0.0,0.8,0.1,27.8,18.9,-7.3,96.7,28.0,18.9,24.4,43.4,75.5,1.05,35.4,30.8,1.64,106.0,11.8,26.4,29.1,18.4,60.7,1.19
 Honduras,21.1,108.0,57.0,0.28,1.0,18.66,1.33,7.2,38.8,0.457,39.3,39.8,57.1,2303.0,4749.0,10.8,11.3,10.3,136.5,6.2,51.8,51.8,54.9,0.95,0.519,4.4,27.6,3697.0,27.3,31.0,105.0,85.0,26.0,24.9,3520.0,0.7,57.0,43.6,0.564,0.594,0.58,0.5379999999999999,27.6,1.0,5.0,673.0,6.5,36.5,83.4,59.5,71.5,74.0,69.1,0.7929999999999999,0.594,150.0,4.7,4.9,5.0,19.5,17.4,135.0,24.6,189.0,29.4,-1.2,-1.2,-1.2,-1.2,-1.2,7.5,6.9,83.4,27.6,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,85.7,68.2,-1.2,26.8,26.3,18.2,4.1,0.3,7.4,1.0,48.6,43.6,-6.0,66.9,29.0,43.6,18.66,49.8,42.4,1.05,44.1,23.4,1.59,57.0,4.0,7.2,47.8,35.0,71.0,1.33
 Hungary,4.5,21.0,21.0,0.26,5.8,1.69,0.99,8.0,61.4,0.787,4.9,62.7,46.5,17118.0,25542.0,15.2,15.7,14.7,127.4,7.5,22.1,22.1,80.4,0.996,0.26,5.3,25.4,22453.0,226.5,87.0,98.0,96.0,65.0,23.8,21115.0,0.4,21.0,1.6,0.799,0.802,0.804,0.809,25.4,1.0,1.0,3446.0,39.0,42.9,58.4,50.2,73.1,77.3,68.9,0.818,0.802,14.0,10.9,10.3,11.2,39.1,92.4,107.0,6.5,256.0,7.6,1.2,1.2,1.2,1.2,1.2,2.3,22.7,58.4,25.4,1.2,1.2,1.2,1.2,1.2,1.2,100.0,98.0,1.2,93.4,88.0,94.1,6.9,1.6,10.1,0.5,66.4,1.6,-8.8,99.6,10.0,1.6,1.69,4.7,100.0,1.06,46.5,9.1,1.06,21.0,7.2,19.4,7.9,28.8,22.5,0.99
 Iceland,8.3,17.3,3.9,0.19,7.5,0.39,0.85,9.2,236.5,0.835,6.5,71.8,73.8,30342.0,45127.0,18.2,19.3,17.1,73.1,18.5,0.4,0.4,23.7,0.9840000000000001,0.125,7.4,29.3,39679.0,11.8,99.0,97.0,111.0,70.0,29.5,37756.0,0.4,3.9,1.0,0.8759999999999999,0.89,0.889,0.8959999999999999,29.3,5.0,10.0,374.0,87.0,70.9,80.7,75.8,81.1,82.9,79.2,0.94,0.89,4.0,10.0,10.2,9.9,34.3,96.0,49.0,2.4,69.0,3.1,2.0,2.0,2.0,2.0,2.0,2.3,17.9,80.7,29.3,2.0,2.0,2.0,2.0,2.0,2.0,100.0,98.8,2.0,91.3,91.0,91.6,0.2,0.0,0.3,0.0,93.0,1.0,-49.1,99.0,22.0,1.0,0.39,62.5,100.0,1.04,49.4,33.3,0.96,3.9,2.6,7.1,8.9,28.8,33.6,0.85
 India,25.3,60.2,279.0,0.34,1.1,2.73,1.02,3.8,60.2,0.429,56.0,25.2,58.0,1563.0,4638.0,9.7,9.1,10.2,42.5,0.9,22.8,22.8,66.0,0.774,0.619,3.2,38.6,3179.0,3637.0,6.0,101.0,54.0,11.0,32.8,3157.0,0.4,279.0,3.9,0.45799999999999996,0.5920000000000001,0.535,0.521,38.6,18.0,32.0,3919.0,2.4,36.8,83.1,60.6,64.6,65.4,63.7,0.685,0.5920000000000001,280.0,4.8,2.9,6.6,23.8,7.9,178.0,55.7,236.0,74.4,-0.4,-0.4,-0.4,-0.4,-0.4,0.2,7.6,83.1,38.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,82.9,29.2,-0.4,37.4,21.8,52.4,714.5,54.6,1144.1,129.6,29.2,3.9,-2.1,34.5,22.0,3.9,2.73,48.6,56.8,1.11,19.5,9.3,1.22,279.0,4.4,9.9,85.6,71.8,52.5,1.02
 Indonesia,-7.3,52.0,437.0,0.22,1.5,1.9,1.1,2.8,46.2,0.552,44.0,37.2,62.3,3968.0,9018.0,10.9,10.9,11.2,64.0,2.9,54.0,54.0,65.0,0.907,0.534,2.7,25.1,6825.0,1547.2,31.0,108.0,60.0,17.0,23.6,6503.0,0.2,437.0,3.6,0.595,0.6559999999999999,0.632,0.631,25.1,15.0,23.0,5002.0,3.6,49.9,85.2,67.5,67.2,69.2,65.2,0.726,0.6559999999999999,212.0,7.4,6.7,7.6,25.5,20.7,162.0,33.5,218.0,41.5,-0.8,-0.8,-0.8,-0.8,-0.8,0.9,7.3,85.2,25.1,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,79.8,52.6,-0.8,43.3,34.8,45.2,147.7,10.9,226.7,22.7,45.9,3.6,-3.3,70.5,20.0,3.6,1.9,41.4,77.0,1.05,36.1,11.3,1.42,437.0,7.7,24.3,59.0,59.2,46.1,1.1
 Iran (Islamic Republic of),8.3,33.5,16.0,0.43,6.7,0.46,1.14,6.0,42.4,0.552,24.8,44.9,41.7,5041.0,25696.0,11.4,11.3,11.5,54.4,1.3,6.6,6.6,98.9,0.846,0.512,4.1,38.7,15616.0,1099.7,45.0,100.0,76.0,23.0,28.6,15589.0,0.1,16.0,3.6,0.622,0.735,0.695,0.763,38.7,3.0,6.0,1889.0,8.1,19.4,74.3,47.4,71.9,73.5,70.4,0.799,0.735,34.0,7.0,6.2,7.9,24.1,12.1,102.0,21.6,169.0,25.6,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,7.1,74.3,38.7,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,95.2,87.7,-0.2,66.0,58.5,66.7,48.6,3.5,70.4,5.5,67.6,3.6,-2.2,97.3,22.0,3.6,0.46,1.4,95.1,1.04,16.4,4.1,1.75,16.0,12.1,23.8,43.8,7.5,37.7,1.14
 Iraq,-3.7,66.0,48.0,0.39,4.2,1.42,1.15,2.9,-1.0,0.478,23.0,58.7,35.0,2930.0,18601.0,10.2,8.9,11.5,115.7,1.0,1.9,1.9,97.5,0.77,0.428,4.4,22.2,10895.0,294.3,57.0,101.0,85.0,16.0,13.8,10851.0,0.4,48.0,3.6,0.5329999999999999,0.691,0.631,0.708,22.2,16.0,31.0,1116.0,0.9,14.5,70.9,42.6,68.3,71.0,65.9,0.7440000000000001,0.691,54.0,5.8,4.5,7.3,18.7,5.7,136.0,33.2,224.0,41.0,-2.1,-2.1,-2.1,-2.1,-2.1,43.5,6.2,70.9,22.2,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,78.9,79.3,-2.1,36.8,25.2,48.3,14.7,0.9,27.0,4.2,68.8,3.6,3.1,98.2,22.0,3.6,1.42,2.3,93.4,1.07,9.9,13.9,1.9,48.0,18.0,38.9,38.7,40.3,77.0,1.15
 Ireland,20.6,19.0,12.0,0.23,10.5,0.24,0.94,7.6,152.7,0.878,6.0,66.3,59.8,28689.0,52436.0,17.5,17.8,17.2,148.3,22.2,10.1,10.1,90.9,0.976,0.192,4.5,30.3,46614.0,193.9,57.0,107.0,109.0,54.0,29.9,40550.0,0.2,12.0,1.2,0.873,0.894,0.8959999999999999,0.907,30.3,4.0,16.0,7333.0,41.6,52.4,72.8,62.5,78.8,81.2,76.4,0.905,0.894,8.0,11.7,10.9,10.7,33.3,101.4,57.0,4.4,91.0,5.2,9.9,9.9,9.9,9.9,9.9,2.3,15.4,72.8,30.3,9.9,9.9,9.9,9.9,9.9,9.9,97.1,89.8,9.9,74.6,74.8,69.1,2.9,0.4,4.2,0.3,60.5,1.2,-9.0,99.7,18.0,1.2,0.24,2.9,100.0,1.07,44.5,14.2,0.87,12.0,4.3,8.6,11.4,28.8,29.1,0.94
 Israel,13.0,16.1,6.5,0.31,8.2,0.27,1.04,7.1,86.6,0.847,2.0,76.4,54.7,20350.0,32874.0,15.7,16.2,15.4,81.7,3.4,7.2,7.2,96.6,0.977,0.17300000000000001,5.8,20.5,26761.0,185.5,94.0,104.0,105.0,58.0,19.0,26528.0,0.4,6.5,2.5,0.858,0.879,0.872,0.843,20.5,7.0,6.0,1903.0,25.2,55.1,68.8,61.7,80.3,82.2,78.2,0.927,0.879,7.0,12.3,12.3,12.1,28.7,117.5,50.0,4.5,89.0,5.6,3.3,3.3,3.3,3.3,3.3,2.3,16.1,68.8,20.5,3.3,3.3,3.3,3.3,3.3,3.3,100.0,100.0,3.3,75.3,72.6,73.0,4.1,0.7,6.6,0.7,91.5,2.5,2.5,98.2,13.0,2.5,0.27,7.0,100.0,1.05,46.3,15.0,1.04,6.5,11.3,17.8,7.7,28.8,44.8,1.04
 Italy,8.0,7.0,7.5,0.22,8.2,0.22,1.12,8.4,104.7,0.748,4.2,65.1,45.2,24462.0,51590.0,15.9,16.4,15.5,49.4,2.0,29.8,29.8,89.8,0.961,0.175,4.2,21.1,37604.0,2179.9,103.0,101.0,98.0,64.0,21.2,37661.0,0.3,7.5,1.0,0.836,0.87,0.857,0.8959999999999999,21.1,2.0,13.0,36513.0,35.0,37.9,61.0,49.0,80.9,83.6,78.1,0.938,0.87,4.0,9.2,8.8,9.6,42.0,121.6,44.0,3.8,84.0,4.5,5.6,5.6,5.6,5.6,5.6,2.3,29.4,61.0,21.1,5.6,5.6,5.6,5.6,5.6,5.6,100.0,85.19999999999999,5.6,68.8,63.5,74.6,39.0,11.5,58.8,2.8,67.7,1.0,-0.7,99.8,10.0,1.0,0.22,6.7,100.0,1.06,39.4,10.4,1.61,7.5,7.7,24.1,19.6,28.8,21.2,1.12
